SiteNum,SiteName,Long_planned,Lat_planned,SiteName,Organiz,Benthic,BenthicPair,Date,Time,Team_DS,Team,LatGPS,LongGPS,SpCond,SalFINAL,TempFinal,ODOPerFinal,ODO,Turb_Final,pH,pH_insitu_Silbiger,TSS,Ammonia,NNN,TotalN,TotalP,Silica,Chla,Salinity_Silbiger,Depth_FINAL,Photos x 5_DS,# of usable photos,Comments photo quadrants,Notes_DS,Comments,Enterococcus,FCM,DNA,FDOM,Pharm,PPL,TA,DOH,DNAex,runDNA,TA_Raw_Silbiger,fDOM_M:C,fDOM_BIX,fDOM_HIX,fDOM_FI,FCM_Concentration (cells/uL),IBU_ngmL,SMX_ngmL,GLY_ngmL,CBZ_ngmL,EnteroCFU100ml,Sample Name,SiteNum_DNA,SiteNumDOH,clusterfit,dist2coast,otpN,gw_wells,streams,DistanceHK_m
124,124,-157.8068383,21.2482511,MBGT1-124,HDOHOff,0,0,20190815,8:53:00 AM,Boat,4,21.2467,-157.80717,386,34.3,27.2,99.5,8.04,0.45,7.85,8.033133,24,15,1,70,27,500,0.12,35.2,15.59,,,,,,,1,1,1,0,0,1,1,,0,2255.054,1.208896,0.948732,0.269699,1.866362,384959,,,,,,124,124,124,4,890,2928.93,2106.8,3706.45,7697.51
125,125,-157.7642115,21.25205565,MBGT1-125,HDOHOff,0,0,20190814,10:49:00 AM,Boat,4,21.25217,-157.76427,53364,34.32,27,101.8,6.66,0.16,8.18,8.041314,17,15,1,59,7,500,0.1,35.17,19.39,0,,,,"YSI data not on DS, perhaps only logged due to time constraints?",,1,1,1,0,0,1,1,,0,2266.371,1.353,0.908348,0.30216,1.398009,254327,,,,,,125,125,125,11,2174.14,0,2594.94,2221.94,4468.55
126,126,-157.7197752,21.27682693,MBGT1-126,HDOHOff,0,0,20190814,8:59:00 AM,Green,3,21.27685,-157.71977,54591,34.32,27.2,107.8,6.99,0.21,7.88,7.992601,21,15,1,44,9,500,0.12,36.07,0.6,1,8,,,,,1,1,1,0,0,1,1,10/15/2019,3,2256.741,1.133702,0.777877,0.675093,1.5922,169680,,,,,,126,126,126,4,593.63,1195.22,1110.72,822.25,699.12
127,127,-157.7137298,21.26235244,MBGT1-127,HDOHOff,0,0,20190813,9:29:00 AM,Boat,4,21.2622,-157.71439,53511,34.23,27.2,100.6,6.32,2.21,8.13,7.994097,49.6,22,3,52,9,500,0.167,35.27,10.81,0,,,,,,1,1,1,0,0,1,1,,0,2283.859,1.229613,0.809986,0.417538,1.492917,381796,,,,,,127,127,127,1,290,97.97,2774.98,1154.86,633.07
128,128,-157.7839979,21.24820899,MBGT1-128,HDOHOff,0,0,20190814,9:54:00 AM,Boat,4,21.2482,-157.78401,53516,34.24,27,101.5,6.67,0.27,8.19,8.027595,55,13,1,65,7,500,0.13,35.26,19.31,0,,,,,,1,1,0,0,0,1,1,,0,2263.092,,,,,314040,,,,,,,128,128,11,1088.94,1201.64,1356.24,2146.46,5986.49
129,129,-157.7740391,21.24657868,MBGT1-129,HDOHOff,0,0,20190814,10:10:00 AM,Boat,4,21.24639,-157.77396,53438,34.24,26.9,101.8,6.68,0.34,8.18,8.039265,25,17,1,69,6,500,0.11,35.21,23.4,0,,,,,,1,1,1,0,0,1,1,,5,2252.448,1.645055,0.905952,0.190904,1.433585,288469,,,,,,129,129,129,11,2034.21,0,2227.04,2336.34,5298.44
130,130,-157.7753898,21.26603977,MBGT1-130,HDOHOff,0,0,20190815,9:53:00 AM,Yellow,2,21.26607,-157.77542,54018,34.31,27.3,115.5,7.5,0.64,7.99,8.0096,23,22,1,67,8,500,0.36,35.65,0.35,0,23,"Many duplicates, looks like camera may have been in burst modus. Duplicates have been removed","Outer reef crest, really shallow on reef with deep pockets",,,1,1,1,0,1,1,1,10/15/2019,3,2227.882,1.024674,0.865976,0.771252,1.58152,109700,,,,,,130,130,130,6,338.38,469.81,1668.32,354.4,4968.8
131,131,-157.7327719,21.26889184,MBGT1-131,HDOHOff,0,0,20190813,8:10:00 AM,Boat,4,21.26888,-157.73302,53236,34.17,27.2,100.4,6.55,0.37,8.18,8.015949,27.6,29,1,40,16,500,0.109,35.06,11.71,0,,,,,,1,1,1,0,0,1,1,,0,2251.951,1.213468,0.75843,0.293871,1.574812,358857,,,,,,131,131,131,2,1211.98,97.97,1633.55,1352.48,1835.14
132,132,-157.8040378,21.25445077,MBGT1-132,HDOHOff,0,1,20190814,8:06:00 AM,Boat,4,21.25275,-157.80147,53335,34.26,27.2,101.3,6.61,1.31,8.09,7.957039,29,14,4,78,23,500,0.23,35.15,5.18,,,,,,,1,1,1,0,1,1,1,10/15/2019,3,2243.167,1.661128,1.635064,0.542821,1.696963,402600,,,,,,132,132,132,1,350.57,4275.69,1238.22,2837.36,7150.65
133,133,-157.7554016,21.26752219,MBGT1-133,HDOHOff,0,1,20190814,8:13:00 AM,Boat,4,21.2675,-157.7554,53284,34.28,27.2,95,6.32,0.6,8.14,7.984089,41,21,1,52,8,500,0.19,35.26,8.9,0,,,,,,1,1,1,0,0,1,1,,5,2256.581,1.319919,1.102881,0.414784,1.661246,530163,,,,,,133,133,133,1,679.12,78.37,1163.87,1042.16,3486.92
134,134,-157.7829884,21.25607701,MBGT1-134,HDOHOff,0,1,20190814,9:22:00 AM,Boat,4,21.25605,-157.78314,336,34.81,27.2,100.5,8.19,0.19,7.67,8.047573,47,15,1,57,8,500,0.14,35.24,12.48,0,,,,,,1,1,1,0,0,1,1,10/17/2019,4,2280.137,1.310574,1.253565,0.245585,1.550515,362204,,,,,,134,134,134,4,657.42,3206.81,846.94,1290.97,5749.75
135,135,-157.7201487,21.26455928,MBGT1-135,HDOHOff,0,0,20190813,9:17:00 AM,Boat,4,21.26457,-157.72029,53294,34.29,27.2,100.3,6.58,0.35,8.17,8.016218,15,17,1,48,9,500,0.1,35.02,12.69,0,,,,,,1,1,1,0,0,1,1,,5,2276.267,1.424608,0.767122,0.27226,1.454641,514102,,,,,,135,135,135,2,896.77,97.97,2286.33,1389.75,1008.15
136,136,-157.7866572,21.25242263,MBGT1-136,HDOHOff,0,0,20190814,9:48:00 AM,Boat,4,21.25224,-157.78674,53485,34.22,27.2,98.5,6.36,0.49,8.17,8.002546,25,21,1,54,9,500,0.15,35.17,14.68,0,,,,,,1,1,1,0,0,1,1,,0,2261.567,1.395367,0.873275,0.309289,1.641159,473694,,,,,,136,136,136,2,573.85,3485.08,826.62,1833.58,6094.86
137,137,-157.7515715,21.25695837,MBGT1-137,HDOHOff,0,0,20190815,10:05:00 AM,Boat,4,21.25699,-157.75163,355,34.79,27.3,102,8.04,0.11,7.82,8.049513,20,11,1,75,9,500,0.08,35.21,18.93,,,,,,,1,1,1,0,1,1,1,10/15/2019,3,2274.123,1.667925,1.432253,0.29338,1.62476,368245,,,,,,137,137,137,11,1904.13,0,2350.53,2204.45,3446.22
138,138,-157.7398726,21.25713153,MBGT1-138,HDOHOff,0,0,20190814,7:25:00 AM,Boat,4,21.25715,-157.73987,53370,34.3,27.2,102.1,6.66,0.09,8.19,8.043262,26,14,1,43,7,500,0.07,35.14,20.42,0,,,,,,1,1,0,0,0,1,1,,0,2284.199,,,,,328960,,,,,,,138,138,11,2398.21,0,2484.85,2432.86,2590.7
