Full Name,Site Number,Quadrad number ,Copy,Team Color,Picture Number,,Annotation status,Annotation area,Coral,Sand,Silt,Pav,Rock,Unk,ASPIC,CA_O,CCA,GFA,GSAL,Hal,Turbin,Turf,UnkMacroa
168_5_2_Red_Copy of P8140225.JPG,168,5,2,Red,Copy of P8140225.JPG,,Confirmed,X: 1 - 2565 pixels / Y: 300 - 2935 pixels,6.667,10,3.333,0,6.667,13.333,0,0,6.667,0,0,6.667,0,23.333,23.333
168_5_3_Red_Copy of P8140226.JPG,168,5,3,Red,Copy of P8140226.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,13.333,13.333,0,0,0,13.333,0,0,3.333,0,0,6.667,0,10,40
168_5_4_Red_Copy of P8140227.JPG,168,5,4,Red,Copy of P8140227.JPG,,Confirmed,X: 21 - 3975 pixels / Y: 1336 - 2950 pixels,0,6.667,0,0,13.333,6.667,0,0,23.333,3.333,0,0,0,0,46.667
168_5_5_Red_Copy of P8140228.JPG,168,5,5,Red,Copy of P8140228.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,3.333,3.333,0,20,13.333,0,0,10,0,0,0,0,16.667,33.333
170_1_1_Green_Copy of P8140194.JPG,170,1,1,Green,Copy of P8140194.JPG,,Confirmed,X: 966 - 3390 pixels / Y: 316 - 2700 pixels,0,0,80,0,20,0,0,0,0,0,0,0,0,0,0
170_2_1_Green_Copy of P8140195.JPG,170,2,1,Green,Copy of P8140195.JPG,,Confirmed,X: 701 - 3255 pixels / Y: 300 - 2860 pixels,0,0,86.667,0,13.333,0,0,0,0,0,0,0,0,0,0
170_3_1_Green_Copy of P8140197.JPG,170,3,1,Green,Copy of P8140197.JPG,,Confirmed,X: 866 - 3300 pixels / Y: 221 - 2700 pixels,0,3.333,26.667,0,70,0,0,0,0,0,0,0,0,0,0
170_4_1_Green_Copy of P8140198.JPG,170,4,1,Green,Copy of P8140198.JPG,,Confirmed,X: 611 - 3050 pixels / Y: 300 - 2700 pixels,0,36.667,3.333,0,60,0,0,0,0,0,0,0,0,0,0
170_5_1_Green_Copy of P8140199.JPG,170,5,1,Green,Copy of P8140199.JPG,,Confirmed,X: 766 - 3215 pixels / Y: 300 - 2805 pixels,0,53.333,13.333,0,26.667,0,0,0,6.667,0,0,0,0,0,0
180_2_1_Green_Copy of P8150321.JPG,180,2,1,Green,Copy of P8150321.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,73.333,0,0,0,0,0,0,26.667,0,0,0,0,0
180_2_2_Green_Copy of P8150323.JPG,180,2,2,Green,Copy of P8150323.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,43.333,0,0,0,0,0,0,56.667,0,0,0,0,0
